,ID_NUMBER,Probability,ToInspect
1692,NYD049204787,0.9889734127,1
1696,NYD980775118,0.9932396825,1
1704,NYR000059766,0.9862522541,1
1705,NYR000030189,0.9894607143,1
1710,NY0000363101,0.9979805556,1
1712,NY0000861070,0.9929914772,1
1719,NYD002208742,0.9854894578,1
1742,NYD982183832,0.9903743158,1
1747,NYR000024349,0.9851391716,1
1748,NYD981487168,0.9836928571,1
1752,NJ0000188656,0.9894887751,1
1759,NCR000139881,0.9853324617,1
1766,VAR000516724,0.991019739,1
1768,NYR000125377,0.9891779649,1
1771,NYR000112961,0.9898750347,1
1782,NYD098108087,0.9829670635,1
1786,NYD043714872,0.9839142857,1
1790,NYR000170696,0.9941666372,1
1791,NYD002217511,0.9836813492,1
1794,NYD986937092,0.985347183,1
1796,NYD001725878,0.9827785714,1
1801,PAD098209661,0.9837225778,1
1802,NYD982188971,0.9836724937,1
1803,WYR000209387,0.9922310058,1
1812,PRD987375128,0.9902936008,1
1814,PRD982275406,0.9950948413,1
1815,NYD002101137,0.9837884921,1
1819,NYD982189193,0.9830701637,1
1822,MI0000852392,0.9932631377,1
1824,DCR000501957,0.9948351774,1
1835,DCR000001388,0.9921545635,1
1840,DCR000503490,0.9947720343,1
1841,NJR000075614,0.9909418073,1
1865,DCR000503102,0.9866134921,1
1867,DCR000502682,0.9929238095,1
1869,ILR000174672,0.9847765623,1
1874,DC0000082222,0.9875711538,1
1878,PAD987366077,0.9921030007,1
1880,NJD002148484,0.9870644919,1
1881,NJR986627123,0.9894835415,1
1887,NJD986644623,0.985295342,1
1892,DCD983970955,0.9830347844,1
1893,GAR000053223,0.9888880952,1
1894,NYD055864011,0.9892894602,1
1901,DC5470000006,0.9975730769,1
1905,DCR000503110,0.9875150794,1
1916,WYR000209601,0.9908991827,1
1925,DCR000502807,0.9949591853,1
1930,NJR000074310,0.9897699789,1
1931,PAD069778306,0.9861428571,1
1948,WYR000218263,0.9879797619,1
1951,COD980962252,0.9857099206,1
1953,NJR000074344,0.9880480159,1
1956,NCS000001462,0.9894023201,1
1959,VTR000519157,0.9888353175,1
1962,NJD002356368,0.9840194344,1
1967,NY0000861096,0.9850882598,1
1970,NJR000064881,0.9906210317,1
1972,NYR000144261,0.9881142857,1
1976,DCR000501791,0.9898765873,1
1984,PAD982660821,0.9910039683,1
1991,WYR000208231,0.9873064085,1
1995,NYR000014415,0.9871332181,1
1998,MIK520960014,0.9890380407,1
2016,IAD051004711,0.9857070814,1
2020,VTR000500975,0.9846464286,1
2022,NCD184705739,0.9837639946,1
2032,NYD982538969,0.9848985146,1
2041,NYR000134320,0.9936426587,1
2043,NJR986654150,0.9872981398,1
2045,COR000229799,0.9848873016,1
2056,SDR000213173,0.9957518898,1
2058,NVR000086710,0.989251052,1
2060,KYR000049692,0.9893617763,1
2064,LAR000066993,0.9846115698,1
2065,NYD002204600,0.9919046237,1
2077,LAD008056632,0.9907723345,1
2086,KYR000030197,0.9840293653,1
2088,KYR000048785,0.9899054234,1
2097,NJD002010932,0.9885988964,1
2106,ALD983192907,0.9861562314,1
2111,NYR000084053,0.9864008345,1
2123,MDR000017269,0.9832120023,1
2128,SDD000817932,0.9843199854,1
2132,NYD013068739,0.9909563492,1
2145,COD983775016,0.9833055556,1
2156,MTR000202788,0.9882003213,1
2161,COR000231571,0.9826944444,1
2165,NJD044832376,0.9889379327,1
2166,PAR000516971,0.9905192445,1
2167,NYD982278160,0.985706746,1
2169,PAR000005355,0.9918356163,1
2174,NYR000190538,0.9859130231,1
2179,NCD057930588,0.9835865307,1
2184,NYD108286600,0.9934107143,1
2196,KYR000048652,0.9900367152,1
2198,MIR000016402,0.9922443199,1
2206,TXR000077970,0.9836007937,1
2209,WYR000208363,0.9838293651,1
2210,NYR000204206,0.9864353257,1
2214,PAD987355807,0.9920116601,1
2218,LAD034231555,0.9863170902,1
2219,LAR000081067,0.9880181796,1
2222,NJD982726648,0.9923304744,1
2223,NJR986633725,0.9917666667,1
2232,COR000231365,0.9845900794,1
2237,PAR000022186,0.9931511888,1
2238,OHR000157834,0.9872623156,1
2239,NYD987023371,0.9866266213,1
